,"parameter","default","ui control type","level","parameter labels","description","auxiliary ui controls",
"ts_process_ieeg_data","bsfreq","[]","edit","basic","bandstop freqs","bandstop frequency range - specified as [low high] in Hz",,
"ts_process_ieeg_data","bsfiltord",4,"edit",,"bandstop order","bandstop filter order",,
"ts_process_ieeg_data","bsfilttype","but","edit",,"bandstop type","digital filter type - ""but"" (default) or ""fir""",,
"ts_process_ieeg_data","bsfiltdir","twopass","edit",,"bandstop direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_process_ieeg_data","lnfilter","no","edit","basic","linenotchfilter","line noise removal using notch filter",,
"ts_process_ieeg_data","lnfreq",60,"edit","basic","linenotchfilter freq","line noise frequency in Hz - default 50Hz",,
"ts_process_ieeg_data","lnfiltord",4,"edit",,"linenotchfilter order","jump preserving median filter",,
"ts_process_ieeg_data","dftfilter","no","edit","basic","lineDFTfilter","line noise removal using discrete fourier transform",,
"ts_process_ieeg_data","dftfreq","[60 120 180]","edit","basic","lineDFTfilter freq","line noise frequencies for DFT filter - default [60 120 180] Hz",,
"ts_process_ieeg_data","medianfilter","no","edit",,"medianfilter","jump preserving median filter",,
"ts_process_ieeg_data","medianfiltord",9,"edit",,"medianfilter order","length of median filter",,
"ts_process_ieeg_data","blc","no","edit","basic","baseline correction","yes/no - baseline correction",,
"ts_process_ieeg_data","blcwindow","[-inf 0]","edit","basic","baseline window","[begin end] in seconds",,
"ts_process_ieeg_data","detrend","no","edit","basic",,"yes/no - linear detrending",,
"ts_process_ieeg_data","polyremoval","no","edit",,,"yes/no - polynomial detrending",,
"ts_process_ieeg_data","latency","[]","edit",,"preproc timelimits",,,
"ts_process_ieeg_data","polyorder",2,"edit",,,"integer - order of polynomial when detrending",,
"ts_process_ieeg_data","hilbert","no","edit",,,,,
"ts_process_ieeg_data","rectify","no","edit",,,,,
"ts_process_ieeg_data","reref","no","edit",,,,,
"ts_process_ieeg_data","refchannel","[]","edit",,,,,
"ts_process_ieeg_data","implicitref","[]","edit",,,,,
"ts_process_ieeg_data","montage","no","edit",,,,,
"ts_process_ieeg_data","fieldtrip_flag",0,"edit",,,,,
"ts_process_ieeg_data","threshold_flag",0,"edit",,,,,
"ts_process_ieeg_data","coordinatefile","[]","edit","basic",,,,
"ts_process_ieeg_data","coordfield","coords","edit",,,,,
"ts_process_ieeg_data","keepbadchans",0,"edit",,,,,
"ts_process_fif_data","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Process fif data"
"ts_process_fif_data","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_process_fif_data","cluster_flag",,"edit",,,"Whether to submit job to cluster",,
"ts_process_fif_data","datafile",,"edit","basic",,,"infile",
"ts_process_fif_data","rejectfile","[]","edit",,,,"infile",
"ts_process_fif_data","layoutfile","[]","edit",,,,"infile",
"ts_process_fif_data","baselinefile","[]","edit",,,,"infile",
"ts_process_fif_data","prefix","proc","edit","basic",,,,
"ts_process_fif_data","browseraw",0,"edit","basic",,,,
"ts_process_fif_data","saveepochs_flag",0,"edit","basic",,,,
"ts_process_fif_data","rootoutdir","pwd","edit",,,,,
"ts_process_fif_data","write_fif_flag",1,"edit","basic",,,,
"ts_process_fif_data","fifname_evcode_flag",1,"edit","basic",,,,
"ts_process_fif_data","events_fnames",,"edit","basic",,,,
"ts_process_fif_data","trigchan","STI101","edit","basic",,,,
"ts_process_fif_data","evcode_offset","[]","edit",,,,,
"ts_process_fif_data","event_recode_rules","[]","edit","basic",,,,
"ts_process_fif_data","valid_event_codes","[]","edit","basic",,,,
"ts_process_fif_data","code_excl","[]","edit","basic",,,,
"ts_process_fif_data","time_excl_pre",,"edit","basic",,,,
"ts_process_fif_data","time_excl_post",,"edit","basic",,,,
"ts_process_fif_data","trig_minduration",,"edit","basic",,,,
"ts_process_fif_data","max_num_trials",,"edit",,,,,
"ts_process_fif_data","stim_delay",,"edit","basic",,,,
"ts_process_fif_data","prestim_dur",,"edit","basic",,,,
"ts_process_fif_data","poststim_dur",,"edit","basic",,,,
"ts_process_fif_data","reject_mag",,"edit","basic",,,,
"ts_process_fif_data","reject_grad",,"edit","basic",,,,
"ts_process_fif_data","reject_eeg",,"edit","basic",,,,
"ts_process_fif_data","reject_eog",,"edit","basic",,,,
"ts_process_fif_data","bandpass_flag",,"edit","basic",,,,
"ts_process_fif_data","bandpass_low_cf",,"edit","basic",,,,
"ts_process_fif_data","bandpass_low_tb",,"edit","basic",,,,
"ts_process_fif_data","bandpass_high_cf",,"edit","basic",,,,
"ts_process_fif_data","bandpass_high_tb",,"edit","basic",,,,
"ts_process_fif_data","dsfact",,"edit","basic",,,,
"ts_process_fif_data","detrend_flag",,"edit","basic",,,,
"ts_process_fif_data","baseline_flag",,"edit","basic",,,,
"ts_process_fif_data","baseline_start",,"edit","basic",,,,
"ts_process_fif_data","baseline_end",,"edit","basic",,,,
"ts_process_fif_data","noise_start",,"edit","basic",,,,
"ts_process_fif_data","noise_end",,"edit","basic",,,,
"ts_process_fif_data","ncov_ex_evnts","[]","edit","basic",,,,
"ts_process_fif_data","badchans","[]","edit","basic",,,,
"ts_process_fif_data","badchanfile","[]","edit","basic",,,,
"ts_process_fif_data","readtrans_flag",1,"edit","basic",,,,
"ts_process_fif_data","post_subnull_flag",0,"edit",,,,,
"ts_process_fif_data","null_event","[]","edit",,,,,
"ts_process_fif_data","post_bandpass_flag",0,"edit",,,,,
"ts_process_fif_data","post_dsfact",1,"edit",,,,,
"ts_process_fif_data","post_detrend_flag",0,"edit",,,,,
"ts_process_fif_data","post_baseline_flag",0,"edit",,,,,
"ts_process_fif_data","post_stim_delay",0,"edit",,,,,
"ts_process_fif_data","post_badchans","[]","edit",,,,,
"ts_process_fif_data","post_badchanfile","[]","edit",,,,,
"ts_process_fif_data","post_rm_badchans_flag",0,"edit",,,,,
"ts_process_fif_data","ICA_auto_flag",0,"edit","basic",,,,
"ts_process_fif_data","ICA_manual_flag",0,"edit","basic",,,,
"ts_process_fif_data","ICA_ref_chan","EOG061","edit","basic",,,,
"ts_process_fif_data","ICA_chantype","all","edit","basic",,,,
"ts_process_fif_data","ICA_maxsteps",20,"edit","basic",,,,
"ts_process_fif_data","ICA_ntrial",5,"edit","basic",,,,
"ts_process_fif_data","ICA_ncomponents",80,"edit","basic",,,,
"ts_process_fif_data","ICA_rescale_flag",1,"edit","basic",,,,
"ts_process_fif_data","ICA_sorttrials",0,"edit","basic",,,,
"ts_process_fif_data","forceflag",0,"edit","basic",,,,
"ts_process_fif_data","loop_param","valid_event_codes","edit",,,,,
"ts_process_fif_data","saveperevent",0,"edit",,,"[0|1] whether to save epoch_data with all events or one epoch_data structure per event",,
"ts_statistics_wrapper","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Waveform statistics"
"ts_statistics_wrapper","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_statistics_wrapper","cluster_flag",,"edit",,,"Whether to submit job to cluster",,
"ts_statistics_wrapper","datafile",,"edit","basic",,,"infile",
"ts_statistics_wrapper","datapath",,"edit","basic",,,"getdir",
"ts_statistics_wrapper","datastring","event","edit",,,,,
"ts_statistics_wrapper","dataskip",,"edit",,,,,
"ts_statistics_wrapper","inpath","matfiles","edit",,,"subdirectory within rootindir to search for required data files by default",,
,"savepath",,"edit",,,,,
"ts_statistics_wrapper","outpath","matfiles/stats","edit",,,"subdirectory within rootoutdir to save results by default","getdir",
"ts_statistics_wrapper","outfile","[]","edit",,,,"outfile",
"ts_statistics_wrapper","rejectfile","[]","edit","basic",,,"infile",
"ts_statistics_wrapper","baselinefile","[]","edit",,,,"infile",
"ts_statistics_wrapper","prefix",,"edit",,,,,
"ts_statistics_wrapper","numrandomization",500,"edit","basic",,"the number of monte carlo iterations (default = 500)",,
"ts_statistics_wrapper","events","[]","edit","basic",,"[n1 n2] will compare event codes n1 and n2.  {[n1 n2] [n1 n3] ...}",,
,"conditions","[]","edit",,,,,
,"channel","[]","edit",,,,,
"ts_statistics_wrapper","channels","[]","edit","basic",,"vector of channel indices - overrides chantype",,
"ts_statistics_wrapper","chantype","all","edit","basic",,"options: {'all' 'mag' 'grad1' 'grad2' 'eeg' 'other' 'grad' 'meg'}",,
"ts_statistics_wrapper","latency","all","edit","basic",,"[begin end] or ''all'' - times to be analyzed",,
"ts_statistics_wrapper","method","montecarlo","edit","basic",,"statistical method for comparing conditions (options: {''montecarlo'' ''analytic'' ''stats'' ''glm'')",,
"ts_statistics_wrapper","statistic","indepsamplesT","edit","basic",,"sample level statistic for thresholding prior to clustering (options: {''indepsamplesT'' ''indepsamplesF'' ''indepsamplesregrT'' ''indepsamplesZcoh'' ''depsamplesT'' ''depsamplesF'' ''depsamplesregrT'' ''actvsblT'' ''ttest'' ''ttest2'' ''paired-ttest'' ''anova1'' ''kruskalwallis'')",,
"ts_statistics_wrapper","correctm","cluster","edit","basic",,"options: {''no'' ''max'' ''cluster'' ''bonferoni'' ''fdr''}",,
"ts_statistics_wrapper","alpha",0.05,"edit","basic",,"alpha level of statistical test",,
"ts_statistics_wrapper","tail",0,"edit","basic",,"tail of statistical test",,
"ts_statistics_wrapper","ivar",1,"edit",,,,,
"ts_statistics_wrapper","uvar","[]","edit",,,,,
"ts_statistics_wrapper","wvar","[]","edit",,,,,
,"feedback","textbar","edit",,,"options: {''gui'' ''text'' ''textbar'' ''no''}",,
"ts_statistics_wrapper","clusterstatistic","maxsum","edit","basic",,"cluster level statistic (corrects for multiple comparisons)(options: {''maxsum'' ''maxsize'' ''wcm'')",,
"ts_statistics_wrapper","clusterthreshold","parametric","edit","basic",,"options: {''parametric'' ''nonparametric''}",,
"ts_statistics_wrapper","clusteralpha",0.05,"edit","basic",,"alpha level of sample-level test",,
"ts_statistics_wrapper","clustercrtival","[]","edit","basic",,,,
"ts_statistics_wrapper","clustertail",0,"edit","basic",,"tail of sample-level test",,
"ts_statistics_wrapper","avgoverchan","no","edit",,,"whether to average over channels",,
"ts_statistics_wrapper","avgovertime","no","edit",,,"whether to average over time",,
"ts_statistics_wrapper","minnbchan","[]","edit",,,"minimum number of channels to define a spatial cluster",,
"ts_statistics_wrapper","neighbours","[]","edit",,,"neighbourhoods",,
"ts_statistics_wrapper","design","[]","edit",,,"design matrix (see FieldTrip documentation for timelockstatistics)",,
"ts_statistics_wrapper","lpfilter","no","edit","basic","lowpass","lowpass filter",,
"ts_statistics_wrapper","lpfreq","[]","edit","basic","lowpass freq","lowpass  frequency in Hz",,
,"lpfiltord",6,"edit",,"lowpass order","lowpass filter order",,
,"lpfilttype","but","edit",,"lowpass type","digital filter type - ""but"" (default) or ""fir""",,
,"lpfiltdir","twopass","edit",,"lowpass direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_statistics_wrapper","hpfilter","no","edit","basic","highpass","highpass filter",,
"ts_statistics_wrapper","hpfreq","[]","edit","basic","highpass freq","highpass frequency in Hz",,
,"hpfiltord",6,"edit",,"highpass order","highpass filter order",,
,"hpfilttype","but","edit",,"highpass type","digital filter type - ""but"" (default) or ""fir""",,
,"hpfiltdir","twopass","edit",,"highpass direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_statistics_wrapper","bpfilter","no","edit","basic","bandpass","bandpass filter",,
"ts_statistics_wrapper","bpfreq","[]","edit","basic","bandpass freqs","bandpass frequency range - specified as [low high] in Hz",,
"ts_statistics_wrapper","bpfiltord",4,"edit",,"bandpass order","bandpass filter order",,
"ts_statistics_wrapper","bpfilttype","but","edit",,"bandpass type","digital filter type - ""but"" (default) or ""fir""",,
"ts_statistics_wrapper","bpfiltdir","twopass","edit",,"bandpass direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_statistics_wrapper","bsfilter","no","edit","basic","bandstop","bandstop filter",,
"ts_statistics_wrapper","bsfreq","[]","edit","basic","bandstop freqs","bandstop frequency range - specified as [low high] in Hz",,
"ts_statistics_wrapper","bsfiltord",4,"edit",,"bandstop order","bandstop filter order",,
,"bsfilttype","but","edit",,"bandstop type","digital filter type - ""but"" (default) or ""fir""",,
,"bsfiltdir","twopass","edit",,"bandstop direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_statistics_wrapper","lnfilter","no","edit","basic","linenotchfilter","line noise removal using notch filter",,
"ts_statistics_wrapper","lnfreq",60,"edit","basic","linenotchfilter freq","line noise frequency in Hz - default 50Hz",,
"ts_statistics_wrapper","lnfiltord",4,"edit",,"linenotchfilter order","jump preserving median filter",,
"ts_statistics_wrapper","dftfilter","no","edit","basic","lineDFTfilter","line noise removal using discrete fourier transform",,
"ts_statistics_wrapper","dftfreq","[60 120 180]","edit","basic","lineDFTfilter freq","line noise frequencies for DFT filter - default [60 120 180] Hz",,
"ts_statistics_wrapper","medianfilter","no","edit",,"medianfilter","jump preserving median filter",,
,"medianfiltord",9,"edit",,"medianfilter order","length of median filter",,
"ts_statistics_wrapper","blc","no","edit","basic","baseline correction","yes/no - baseline correction",,
"ts_statistics_wrapper","blcwindow","[-inf 0]","edit","basic","baseline window","[begin end] in seconds",,
"ts_statistics_wrapper","detrend","no","edit","basic",,"yes/no - linear detrending",,
"ts_statistics_wrapper","polyremoval","no","edit",,,"yes/no - polynomial detrending",,
"ts_statistics_wrapper","loop_param","events","edit",,,,,
"ts_freqanalysis_fieldtrip","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Time-frequency analysis"
"ts_freqanalysis_fieldtrip","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_freqanalysis_fieldtrip","cluster_flag",0,"edit","basic",,"Whether to submit job to cluster",,
"ts_freqanalysis_fieldtrip","save_flag",1,"edit","basic",,,,
"ts_freqanalysis_fieldtrip","datafile",,"edit","basic",,,"infile",
"ts_freqanalysis_fieldtrip","datapath",,"edit","basic",,,"getdir",
"ts_freqanalysis_fieldtrip","datastring","event","edit",,,,,
"ts_freqanalysis_fieldtrip","dataskip",,"edit",,,,,
"ts_freqanalysis_fieldtrip","inpath","matfiles","edit",,,"subdirectory within rootindir to search for required data files by default",,
"ts_freqanalysis_fieldtrip",,,"edit",,,,"getdir",
"ts_freqanalysis_fieldtrip","outpath","matfiles/timefreq","edit",,,"subdirectory within rootoutdir to save results by default",,
"ts_freqanalysis_fieldtrip","outfile",,"edit",,,,"outfile",
"ts_freqanalysis_fieldtrip","prefix","[]","edit",,,,,
"ts_freqanalysis_fieldtrip","rejectfile",,"edit",,,,"infile",
"ts_freqanalysis_fieldtrip",,,"edit",,,,"infile",
"ts_freqanalysis_fieldtrip",,,"edit",,,,,
"ts_freqanalysis_fieldtrip","loop_param","{'event_codes' 'events'}","edit",,,,,
"ts_freqanalysis_fieldtrip","events","[]","edit","basic",,"Array of event codes to analyze. Codes can be listed two ways.  Ex) [1 2 3] or {[1] [2] [3]}. The difference is that all three conditions are loaded into memory at the same time using the first notation whereas they are loaded and cleared from memory separately using the latter notation. Furthermore, when submitting jobs to the cluster - the former will submit all three as one job whereas the latter will submit three jobs (one per condition) that can be processed in parallel.",,
"ts_freqanalysis_fieldtrip","channels","[]","edit","basic",,,,
"ts_freqanalysis_fieldtrip","foi","[2:12 14:2:24 25:5:55 70:10:200]","edit","basic","frequencies","Frequencies of interest (Hz)",,
"ts_freqanalysis_fieldtrip","toi",,"edit",,"times",,,
"ts_freqanalysis_fieldtrip","toilim","[]","edit","basic","time limits",,,
"ts_freqanalysis_fieldtrip","sf","[1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 5 5 5 5 5 5 5 10 10 10 10 10 10 10 10 10 10 10 10 10 10]","edit","basic","spectral resolution","Spectral resolution in standard deviations of the gaussian. Either give one value per frequency or a single value to have a constant frequency resolution. Since time and frequency resolution scale inversely, constant frequency resolution implies constant resolution in time. As sf decreases the frequency resolution increases and time resolution decreases.  The opposite is true of increasing sf.",,
"ts_freqanalysis_fieldtrip","st",,"edit",,"temporal resolution",,,
"ts_freqanalysis_fieldtrip","chantype","all","edit","basic",,,,
"ts_freqanalysis_fieldtrip","output","pow","edit","basic",,,,
"ts_freqanalysis_fieldtrip","method","wltconvol","edit","basic","TF method","method for time-frequency analysis (default = wltconvol - complex morlet wavelet analysis)",,
"ts_freqanalysis_fieldtrip","savecomplex_flag",0,"edit","basic","complex spectra","whether to save complex spectra when saving trials (always saved for averages)",,
"ts_freqanalysis_fieldtrip","savesingles_flag",1,"edit","basic","single precision","whether to save data with single precision instead of double",,
"ts_freqanalysis_fieldtrip","verbose",1,"edit","basic",,,,
,"visualreject_flag",0,"edit",,,,,
"ts_freqanalysis_fieldtrip","trials_flag",0,"edit","basic","save trial data","whether to save trials in addition to averages",,
"ts_freqanalysis_fieldtrip","detrend","no","edit","basic",,,,
"ts_freqanalysis_fieldtrip","lnfilter","no","edit","basic","notch linefilter",,,
"ts_freqanalysis_fieldtrip","lnfreq",60,"edit","basic","notch linefilter freq",,,
"ts_freqanalysis_fieldtrip","lpfilter","no","edit","basic","lowpass",,,
"ts_freqanalysis_fieldtrip","lpfreq",200,"edit","basic","lowpass freq",,,
"ts_freqanalysis_fieldtrip","hpfilter","no","edit","basic","highpass",,,
"ts_freqanalysis_fieldtrip","hpfreq","[]","edit","basic","highpass freq",,,
"ts_freqanalysis_fieldtrip","blc","no","edit","basic","baseline correction",,,
"ts_freqanalysis_fieldtrip","blcwindow","all","edit","basic","baseline window",,,
"ts_freqband_average","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Freq-band averaging"
"ts_freqband_average","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_freqband_average","save_flag",1,"edit","basic",,,,
"ts_freqband_average","cluster_flag",0,"edit","basic",,"Whether to submit job to cluster",,
"ts_freqband_average","datafile","[]","edit","basic",,,"infile",
"ts_freqband_average","inpath","matfiles/timefreq","edit",,,"subdirectory within rootindir to search for required data files by default",,
"ts_freqband_average","outpath","matfiles/timefreq/bands","edit",,,"subdirectory within rootoutdir to save results by default",,
,"prefix",,"edit",,,,,
"ts_freqband_average","loop_param","freqband","edit",,,,,
"ts_freqband_average","freqband","all","edit","basic",,,,
"ts_freqband_average","events","[]","edit","basic",,,,
,"conditions","[]","edit",,,,,
"ts_freqband_average","chantype","all","edit","basic",,"{''mag'' ''grad'' ''grad1'' ''grad2'' ''eeg'' ''other'' ''meg'' ''all''}",,
,"channel","[]","edit","basic","channels",,,
"ts_freqband_average","findex","[]","edit","basic","freq indices","index into the frequency vector indicating which frequencies to average",,
"ts_freqband_average","blc",0,"edit","basic","baseline correction",,,
"ts_freqband_average","baselinetype","zscore","edit","basic",,"{''zscore'' ''relative'' ''relchange'' ''absolute''}",,
"ts_freqband_average","blcwindow","[-inf 0]","edit","basic","baseline window",,,
,"baseline_data","[]","edit",,,,,
"ts_freqband_average","baselinefile","[]","edit","basic",,,"infile",
,"verbose",1,"edit",,,,,
"ts_freqband_average","freqcorr",0,"edit","basic","freq correction","whether to correct for frequency drop-off in power",,
"ts_freqband_average","toilim","[]","edit","basic","time limits","time limits [begin end] in seconds",,
"ts_freqband_average","rejectfile","[]","edit","basic",,"MAT file containing reject_data","infile",
,"reject_data","[]","edit",,,,,
"ts_timefreq_rejection","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Time-frequency rejection"
"ts_timefreq_rejection","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
